EPIC,Campaign,Teff,log g,Prot,ΔProt,hpeak,Rvar,Kp,MG,N_EVEREST,N_TESS_SPOC,Period_TESS,Amplitude_TESS,Period_K2,Amplitude_K2,Sector,Ratio,T_nearest,T_spot
227795453,11,3781,4.96,5.23,0.33,0.6,4.88,12.93,,2.0,0.0,0.0,0.0,5.378070241491819,0.0413717302917772,,0.0,3800,0.0
229427774,11,6063,4.36,7.31,0.43,0.4,0.37,10.99,4.12,2.0,4.0,8.050105672197606,0.0026811957359313,9.20860538339759,0.0051319236239828,12.0,0.5224543333812262,6100,900.0
230737517,11,5733,4.46,6.07,0.37,0.82,1.32,11.18,,2.0,0.0,0.0,0.0,5.925836680889041,0.0096100102706651,,0.0,5700,0.0
230755741,11,5573,4.51,8.11,0.47,0.53,1.65,10.87,5.2,2.0,0.0,0.0,0.0,4.063400794787524,0.0097203662922439,,0.0,5600,0.0
230775081,11,5682,4.38,1.82,0.22,0.36,0.11,12.87,4.69,2.0,0.0,0.0,0.0,1.774374211937693,0.0021659353477693,,0.0,5700,0.0
230817869,11,4418,4.7,6.06,0.37,0.32,0.91,12.47,-1.68,2.0,0.0,0.0,0.0,6.994458219174053,0.0058615264245078,,0.0,4400,0.0
230825032,11,5634,4.65,3.74,0.28,0.89,2.85,11.66,,2.0,0.0,0.0,0.0,3.926290234760524,0.0170979384166793,,0.0,5600,0.0
230837524,11,6091,4.32,5.07,0.33,0.79,0.44,10.28,2.62,2.0,0.0,0.0,0.0,10.0,0.0057821445407044,,0.0,6100,0.0
230889790,11,5339,4.55,9.51,0.56,0.49,0.68,10.96,,2.0,0.0,0.0,0.0,9.208605873545176,0.0156235623300139,,0.0,5300,0.0
230897226,11,6010,4.38,9.21,0.54,0.45,1.3,10.04,4.31,2.0,0.0,0.0,0.0,9.2086061098876,0.0072700107847812,,0.0,6000,0.0
230951507,11,3808,4.97,9.84,0.59,0.46,0.39,13.12,0.77,2.0,0.0,0.0,0.0,10.0,0.0104769546516086,,0.0,3800,0.0
231008852,11,3443,5.03,1.84,0.22,0.65,1.89,13.85,,2.0,0.0,0.0,0.0,1.857710111915072,0.0141846071625165,,0.0,3400,0.0
231029465,11,5799,4.4,5.29,0.34,0.47,0.08,12.58,4.37,2.0,0.0,0.0,0.0,10.0,0.0034803957498944,,0.0,5800,0.0
231103223,11,6071,4.34,7.75,0.45,0.6,1.76,10.62,4.42,2.0,0.0,0.0,0.0,8.533288035251207,0.0126810949687553,,0.0,6100,0.0
231121259,11,5679,4.49,6.59,0.39,0.83,2.2,10.65,4.94,2.0,0.0,0.0,0.0,6.243815837010695,0.0291232334260402,,0.0,5700,0.0
231180523,11,5992,4.35,9.56,0.57,0.58,0.12,11.53,5.27,2.0,0.0,0.0,0.0,9.208606315847712,0.0019598925486292,,0.0,6000,0.0
231229765,11,5840,4.35,3.96,0.29,0.44,0.12,12.75,,2.0,0.0,0.0,0.0,3.9262913256967,0.0013238958614819,,0.0,5800,0.0
231255485,11,5882,4.33,7.07,0.42,0.5,0.83,10.59,3.99,2.0,0.0,0.0,0.0,7.441789845708079,0.010569628032699,,0.0,5900,0.0
231277451,11,6134,4.26,3.04,0.25,0.33,0.11,10.26,,2.0,0.0,0.0,0.0,10.0,0.001272122281073,,0.0,6100,0.0
231278249,11,4080,4.84,6.71,0.4,0.47,1.07,13.74,,2.0,0.0,0.0,0.0,6.243816745873021,0.0606617215400566,,0.0,4100,0.0
231279495,11,4266,4.71,6.98,0.41,0.41,0.99,13.76,,2.0,0.0,0.0,0.0,6.597855095125339,0.0152342478389395,,0.0,4300,0.0
231284261,11,5886,4.41,2.82,0.25,0.53,2.0,11.01,4.45,2.0,0.0,0.0,0.0,3.5653748039186293,0.0098642324386736,,0.0,5900,0.0
231394452,11,4565,4.66,4.82,0.32,0.7,4.68,12.02,,2.0,0.0,0.0,0.0,2.3924567746098813,0.0296034996973761,,0.0,4600,0.0
231405066,11,3900,4.91,1.54,0.21,0.36,4.73,14.77,8.43,2.0,0.0,0.0,0.0,10.0,0.0148273864898943,,0.0,3900,0.0
231504300,11,4005,4.86,1.84,0.22,0.51,6.66,13.68,,2.0,1.0,1.8655900469425315,0.1686885893344878,10.0,0.0237799479758207,12.0,7.093732480239623,4000,4600.0
231526829,11,3646,5.0,2.43,0.24,0.78,2.22,15.38,,2.0,1.0,6.645031436054571,0.4374049931764603,7.4417924283977825,0.0824830978239012,39.0,5.302965149421353,3600,4600.0
231849546,11,5959,4.4,8.84,0.52,0.78,0.88,11.35,3.87,2.0,0.0,0.0,0.0,4.368508730619561,0.0079033531675345,,0.0,6000,0.0
231855337,11,5493,4.43,5.74,0.35,0.91,3.61,10.79,4.06,2.0,0.0,0.0,0.0,5.638675433534192,0.0398365775798417,,0.0,5500,0.0
231870856,11,6225,4.24,1.75,0.22,0.9,0.99,11.26,,2.0,0.0,0.0,0.0,1.7461948499372086,0.0389452158130022,,0.0,6200,0.0
232067631,11,6069,4.31,5.53,0.35,0.52,0.93,9.59,2.91,2.0,0.0,0.0,0.0,5.925835586716637,0.0123792014590277,,0.0,6100,0.0
232176808,11,4047,4.85,7.49,0.44,0.93,5.4,13.08,7.07,2.0,0.0,0.0,0.0,7.4417891699646495,0.035078652216942,,0.0,4000,0.0
232177743,11,6095,4.36,5.41,0.34,0.62,1.28,11.47,4.53,2.0,0.0,0.0,0.0,5.378057713866645,0.0104388385724837,,0.0,6100,0.0
232220299,11,5865,4.41,6.23,0.38,0.61,1.2,11.23,4.07,2.0,0.0,0.0,0.0,8.53328816924792,0.0099392072002836,,0.0,5900,0.0
232320616,11,6182,4.32,7.39,0.43,0.48,0.46,11.36,3.76,2.0,0.0,0.0,0.0,7.4417919833695425,0.0073825517585328,,0.0,6200,0.0
232334288,11,5661,4.43,6.16,0.37,0.86,1.68,11.56,,2.0,0.0,0.0,0.0,5.925838295081508,0.0140904872686973,,0.0,5700,0.0
232334591,11,6091,4.24,5.59,0.35,0.65,2.47,10.88,4.66,2.0,0.0,0.0,0.0,5.925838297110482,0.0140849793230268,,0.0,6100,0.0
233224259,11,4865,4.61,7.17,0.42,0.72,2.9,12.79,6.75,2.0,3.0,7.714301735902877,0.0742976307868956,10.0,0.0389421455155671,12.0,1.907897723744963,4900,4600.0
