EPIC,Campaign,Teff,log g,Prot,ΔProt,hpeak,Rvar,Kp,MG,N_EVEREST,N_TESS_SPOC,Period_TESS,Amplitude_TESS,Period_K2,Amplitude_K2,Sector
205952853,3,4327,4.74,1.82,0.22,0.42,7.43,15.49,,1.0,0.0,0.0,0.0,1.8492318987082985,0.11090518339911681,
205957251,3,4201,4.75,2.74,0.25,0.61,5.53,16.36,,1.0,0.0,0.0,0.0,2.7016160575016097,0.08301942532360784,
205961029,3,4263,4.74,7.82,0.46,0.34,0.66,15.66,8.07,1.0,0.0,0.0,0.0,86.4516368644945,0.01880610182188036,
205973093,3,4290,4.74,7.39,0.43,0.59,1.61,16.21,3.74,1.0,0.0,0.0,0.0,7.517541062120669,0.01800717350872616,
205996447,3,4141,4.77,1.58,0.21,0.58,1.85,15.26,5.61,1.0,0.0,0.0,0.0,0.40024012484023097,0.07402071979306546,
206003718,3,4024,4.83,2.13,0.23,0.64,4.2,15.5,,1.0,3.0,136.87351130181926,0.0864821238494915,345.807956948629,0.060928623944169646,2.0
206028147,3,4129,4.8,5.1,0.33,0.76,8.2,16.42,6.61,1.0,0.0,0.0,0.0,5.085403439352376,0.09306539954160642,
206030412,3,4004,4.82,6.26,0.38,0.6,2.33,14.79,,1.0,0.0,0.0,0.0,172.90361193019635,0.03525379839687304,
206067215,3,4323,4.73,5.01,0.32,0.85,8.54,13.64,6.16,1.0,0.0,0.0,0.0,4.9400960482047855,0.09019482755847907,
206107884,3,4026,4.83,5.43,0.34,0.84,6.62,15.37,7.46,1.0,0.0,0.0,0.0,115.26892268794958,0.10361679393661338,
206121958,3,4176,4.77,1.98,0.22,0.59,3.41,15.75,,1.0,0.0,0.0,0.0,115.26882824698987,0.09142341330478865,
206126013,3,4195,4.76,8.67,0.51,0.84,4.05,14.41,,1.0,0.0,0.0,0.0,8.866832658724235,0.04636648290945811,
206127491,3,4126,4.78,1.54,0.21,0.43,1.75,15.02,6.01,1.0,0.0,0.0,0.0,172.903163557894,0.02708129991209096,
206135170,3,4302,4.73,2.59,0.24,0.72,7.12,16.17,6.16,1.0,1.0,1.289845304869293,0.21826007366180433,2.619744649938653,0.0760226614100844,42.0
206192958,3,4127,4.78,4.22,0.29,0.52,2.36,14.89,,1.0,0.0,0.0,0.0,115.26921029374839,0.04930969244171113,
206193328,3,4483,4.67,6.63,0.4,0.54,3.25,12.41,6.55,1.0,0.0,0.0,0.0,115.26916310867819,0.04769897302862103,
206194954,3,4106,4.84,2.57,0.24,0.82,5.2,13.42,7.07,1.0,0.0,0.0,0.0,2.5615324939388775,0.06603143149310486,
206212262,3,4310,4.86,3.25,0.26,0.75,2.97,14.32,6.29,1.0,0.0,0.0,0.0,3.2318483065115013,0.032839553946938604,
206218258,3,4147,4.84,2.11,0.23,0.57,2.05,10.97,3.57,1.0,0.0,0.0,0.0,2.1085791996812056,0.02251587941971589,
206260321,3,4015,4.82,5.11,0.33,0.85,6.03,15.05,,1.0,0.0,0.0,0.0,5.161304926310115,0.09468402014850696,
206280416,3,4350,4.76,2.11,0.23,0.89,4.86,14.34,5.84,1.0,0.0,0.0,0.0,2.1085787359897505,0.05204676732963509,
206292370,3,4112,4.78,5.52,0.35,0.79,4.8,16.25,5.46,1.0,0.0,0.0,0.0,115.26887938144985,0.09303185370548828,
206356750,3,4194,4.75,2.41,0.24,0.9,2.83,15.13,,1.0,0.0,0.0,0.0,86.45185013088849,0.05286340538318279,
206422510,3,4255,4.75,1.48,0.21,0.63,4.18,15.84,6.81,1.0,0.0,0.0,0.0,1.484152639053086,0.052318220116517655,
206433205,3,4091,4.79,7.77,0.45,0.85,3.67,15.06,,1.0,0.0,0.0,0.0,7.684599368727907,0.05566509416234211,
206438209,3,4063,4.82,4.62,0.31,0.66,3.54,13.27,,1.0,0.0,0.0,0.0,345.8078879481036,0.050241000026897686,
206474395,3,4135,4.79,2.18,0.23,0.65,8.46,15.85,6.56,1.0,0.0,0.0,0.0,2.2025949046549433,0.11803768378622748,
